                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5408,                 4.1119,                 4.2254,                      0,                      0,                      0,                      0,                 6.0023,                 4.2768,                 4.1704,                0.00034,                0.00034,                0.00034
                      2,                 4.0613,                 2.8676,                 3.7379,                      0,                      0,                      0,                      0,                  6.061,                 4.3381,                 4.2709,             0.00067433,             0.00067433,             0.00067433
                      3,                 3.3677,                 2.2614,                 3.0891,                      0,                      0,                      0,                      0,                 6.1502,                 4.3002,                 4.4433,             0.00098227,             0.00098227,             0.00098227
                      4,                 2.9208,                 1.9469,                 2.7352,                      0,                      0,                      0,                      0,                 6.1767,                 4.2854,                  4.493,              0.0012638,              0.0012638,              0.0012638
                      5,                 2.7605,                 1.9445,                 2.5222,                      0,                      0,                      0,                      0,                 6.1672,                 4.3416,                 4.4878,              0.0015189,              0.0015189,              0.0015189
                      6,                 2.6042,                  1.883,                 2.4102,                      0,                      0,                      0,                      0,                 6.1466,                 4.3907,                 4.5008,              0.0016333,              0.0016333,              0.0016333
                      7,                 2.4509,                 1.6633,                 2.3427,                0.12548,                0.04715,                0.02623,                0.00528,                 4.2373,                 2.9931,                 3.3046,              0.0016333,              0.0016333,              0.0016333
                      8,                  2.325,                 1.5702,                  2.243,                0.55484,                0.62622,                0.60528,                0.19181,                  2.283,                 1.8285,                 2.2846,                0.00156,                0.00156,                0.00156
                      9,                  2.227,                   1.47,                 2.1862,                0.20792,                0.64149,                0.18918,                0.06066,                 2.3851,                 2.1789,                 2.2283,              0.0014867,              0.0014867,              0.0014867
                     10,                 2.1006,                 1.4384,                 2.0574,                0.76991,                0.78388,                0.80872,                0.28702,                 2.2757,                  1.385,                 2.2515,              0.0014133,              0.0014133,              0.0014133
                     11,                 2.0143,                 1.3472,                 2.0201,                0.75836,                0.73428,                0.78372,                0.30276,                 2.0598,                 1.5525,                 2.0674,                0.00134,                0.00134,                0.00134
                     12,                 1.9583,                  1.307,                 1.9633,                  0.846,                0.62622,                0.76445,                0.39404,                 1.7678,                 1.5491,                 1.7813,              0.0012667,              0.0012667,              0.0012667
                     13,                  1.908,                  1.255,                 1.9362,                0.87034,                0.80337,                0.85426,                0.32097,                 2.0609,                 1.3312,                 2.1403,              0.0011933,              0.0011933,              0.0011933
                     14,                  1.891,                 1.2671,                 1.9483,                 0.8654,                 0.8264,                 0.8906,                0.44539,                 1.6851,                 1.2345,                  1.786,                0.00112,                0.00112,                0.00112
                     15,                 1.7888,                 1.2247,                 1.8587,                0.79425,                0.86846,                0.86166,                0.42159,                 1.6951,                 1.2353,                 1.8057,              0.0010467,              0.0010467,              0.0010467
                     16,                  1.717,                 1.1646,                 1.8456,                0.83647,                0.75465,                0.83473,                0.43712,                 1.6708,                 1.2857,                 1.7341,             0.00097333,             0.00097333,             0.00097333
                     17,                 1.6768,                 1.1728,                 1.8301,                0.86409,                0.82218,                0.88722,                0.48819,                 1.5589,                  1.241,                 1.7369,                 0.0009,                 0.0009,                 0.0009
                     18,                 1.7004,                 1.3956,                 1.7417,                0.93994,                 0.9132,                0.94641,                0.50656,                 1.5441,                 1.1299,                 1.6475,             0.00082667,             0.00082667,             0.00082667
                     19,                 1.6212,                 1.2414,                 1.7038,                0.93336,                0.90555,                0.94744,                0.55347,                 1.4884,                 1.0222,                 1.6022,             0.00075333,             0.00075333,             0.00075333
                     20,                 1.5169,                 1.1077,                 1.6426,                0.86413,                0.87777,                 0.9324,                0.46131,                  1.667,                 1.1484,                 1.7643,                0.00068,                0.00068,                0.00068
                     21,                 1.4968,                 1.0592,                 1.6258,                0.80124,                0.89263,                0.87388,                0.48633,                 1.6115,                 1.1094,                 1.7459,             0.00060667,             0.00060667,             0.00060667
                     22,                 1.4775,                 1.0264,                 1.6142,                0.87806,                0.87422,                0.92773,                0.54074,                 1.4578,                 1.0642,                 1.6656,             0.00053333,             0.00053333,             0.00053333
                     23,                 1.4244,                 1.0157,                 1.6038,                 0.9593,                0.91851,                0.97013,                0.60063,                 1.3167,                 0.9346,                 1.5191,                0.00046,                0.00046,                0.00046
                     24,                    1.4,                0.96544,                 1.5739,                0.95008,                0.94395,                0.97022,                0.60655,                 1.3438,                0.88638,                 1.5048,             0.00038667,             0.00038667,             0.00038667
                     25,                  1.388,                  0.941,                 1.5543,                0.93723,                0.92573,                0.96011,                0.59732,                 1.3927,                0.90216,                 1.5503,             0.00031333,             0.00031333,             0.00031333
                     26,                 1.3555,                0.91498,                 1.5156,                0.94191,                0.93888,                0.96829,                0.60498,                 1.3346,                0.88365,                 1.4696,                0.00024,                0.00024,                0.00024
                     27,                 1.3359,                0.89563,                 1.5289,                0.94615,                0.93977,                0.97124,                0.61437,                 1.3311,                0.88055,                 1.4908,             0.00016667,             0.00016667,             0.00016667
